arch,condition,seed,reward_x,reward_y,final_loss,coverage,side,Ng,reward_z,wrong_z_mean,specificity_z,reward_rank_percentile,peak_error,top10_com_error,spatial_corr_reward_log_metric,area_reward_z,area_wrong_z_mean,area_specificity_z,area_reward_rank_percentile,area_peak_error,area_top10_com_error,area_spatial_corr_reward_log_metric,mean_area,mean_stretch
jepa,control,20260702,0.25,0.75,0.26593905687332153,1.0,16,256,0.6879677520659355,0.12586897725728,0.5620987748086556,0.7091836734693877,0.07071067811865477,0.2741629316883195,0.27048284126429195,0.6856510024080974,0.13458205170896642,0.551068950699131,0.7091836734693877,0.07071067811865477,0.2805862584994534,0.2680946911913742,10.613677626346155,3.26569661908505
jepa,control,20260702,0.5,0.25,0.26593905687332153,1.0,16,256,0.13898322212795708,0.1944920434995273,-0.05550882137157023,0.5561224489795918,0.6264982043070835,0.31412107137852485,0.02932980069878212,0.16710506645978584,0.1994002937025054,-0.03229522724271955,0.5459183673469388,0.6264982043070835,0.3082180626741011,0.04215584569172575,10.613677626346155,3.26569661908505
jepa,control,20260702,0.5,0.5,0.26593905687332153,1.0,16,256,-0.46162652472642945,0.26956826185632565,-0.731194786582755,0.33163265306122447,0.42426406871192857,0.0795898634242663,-0.21368420907499872,-0.4190910582735249,0.2726748092941692,-0.6917658675676941,0.336734693877551,0.42426406871192857,0.07309271070182059,-0.19558750829072574,10.613677626346155,3.26569661908505
jepa,control,20260702,0.5,0.75,0.26593905687332153,1.0,16,256,0.2653793719744108,0.1786925247687206,0.0866868472056902,0.5867346938775511,0.30413812651491096,0.19747669542453467,0.09686786189789749,0.29823345570133386,0.1830092450473119,0.11522421065402197,0.5867346938775511,0.30413812651491096,0.20170948058260416,0.11082973077015339,10.613677626346155,3.26569661908505
jepa,control,20260702,0.75,0.25,0.26593905687332153,1.0,16,256,0.5457432377574102,0.14364704154584568,0.4020961962115645,0.6632653061224489,0.7778174593052023,0.43301706618544794,0.20829198076340788,0.558752083773743,0.15044441653826074,0.40830766723548223,0.6632653061224489,0.7778174593052023,0.4265635242924059,0.21400007380642874,10.613677626346155,3.26569661908505
jepa,control,20260702,0.75,0.5,0.26593905687332153,1.0,16,256,-0.4549562859149205,0.26873448200488703,-0.7236907679198075,0.33163265306122447,0.6264982043070835,0.30849032153983963,-0.21388695505740293,-0.46848992492256175,0.27884966762529884,-0.7473395925478605,0.32653061224489793,0.6264982043070835,0.30381015528767613,-0.22272859052383237,10.613677626346155,3.26569661908505
jepa,control,20260702,0.75,0.75,0.26593905687332153,1.0,16,256,0.7203747925456555,0.12181809719731501,0.5985566953483406,0.7295918367346939,0.552268050859363,0.35753150540848105,0.27822087971926546,0.7072369910994678,0.13188380312254513,0.5753531879769227,0.7091836734693877,0.552268050859363,0.35727409737495075,0.2731650018266091,10.613677626346155,3.26569661908505
jepa,reward,20260702,0.25,0.25,0.9378286600112915,1.0,16,256,1.231830963163707,-0.059442249626767224,1.2912732127904742,0.8877551020408163,0.2368778400591983,0.05884398609808326,0.5217819313897798,0.5260361041625632,-0.1687304350042757,0.694766539166839,0.6785714285714286,0.20138409955990955,0.3440017220857489,0.2180742775182393,1.1836769347471308,2.8562199407052176
jepa,reward,20260702,0.25,0.5,1.0563569068908691,1.0,16,256,0.9551799718024476,-0.21961250781512293,1.1747924796175706,0.7959183673469388,0.370060055186242,0.16899005058687927,0.409681689632561,0.6260840022364248,-0.03884956320188673,0.6649335654383115,0.7193877551020408,0.22422706745122847,0.2550752708812593,0.20280460916294754,1.1341077167889033,2.544359239724637
jepa,reward,20260702,0.25,0.75,1.029530644416809,1.0,16,256,0.696990854731686,0.14506527469843772,0.5519255800332483,0.8469387755102041,0.2368778400591983,0.019587363486388773,0.2716500067219476,0.5746327230005263,-0.16867152682943168,0.7433042498299579,0.6836734693877551,0.08498365855987974,0.16073144233576842,0.2745760966326755,0.5308549839737271,2.5864364456658078
