augment,arch,seed,weakness_translation,weakness_wrong_group,toroidal_score,betti_match_torus,betti1_estimate,h1_top1,h1_top2,h2_top,fourier_pr,id_accuracy,ood_accuracy,final_loss,coverage,ood_arena_1,ood_arena_1_25,ood_arena_1_5,ood_arena_2
partial_translation,gru,20263528,0.0,0.0,0.016007821704722404,False,30,0.36169555595794256,0.35982818170186326,0.03975642663025658,6.829446177493411,0.926,0.70525,0.2538944184780121,1.0,0.93775,0.81575,0.68425,0.70525
partial_translation,gru,20263628,0.5788756211003547,0.0,0.005876659888290244,False,22,0.8526707817448633,0.3608006513926536,0.08574699588798562,5.205865338257442,0.8975,0.6995,0.35347700119018555,1.0,0.898,0.775,0.6155,0.6995
partial_translation,gru,20263728,0.33537558706094145,0.0,0.00024558484049724903,False,25,0.37664041062678044,0.33336996342664293,0.03482112466321674,5.921518352588933,0.92625,0.7135,0.19864241778850555,1.0,0.91775,0.79575,0.669,0.7135
partial_translation,rnn,20260628,0.23653516604594882,0.0,0.0034283826452396857,False,13,0.7129370173758667,0.5906920765709023,0.012719506276980264,7.406034892797468,0.9235,0.75825,0.2233532816171646,1.0,0.909,0.80525,0.7285,0.75825
partial_translation,rnn,20260728,0.6956043973301438,0.0,0.0025986390652005687,False,36,0.4924089871377617,0.4787376468395156,0.1555168676896692,8.002654016211537,0.913,0.755,0.2142300009727478,1.0,0.9065,0.78,0.746,0.755
partial_translation,rnn,20260828,0.7238272956228675,0.0,0.0026006902224185923,False,21,0.5171706561482134,0.4662249851337882,0.008684524165826213,10.131373894126945,0.90125,0.7125,0.2811487913131714,1.0,0.90925,0.769,0.70275,0.7125
partial_translation,rnn,20260928,0.7370137003711882,0.0,0.0,False,19,0.6345031393039211,0.6103527380886598,0.0,6.233580732617769,0.9195,0.822,0.15967033803462982,1.0,0.94325,0.8855,0.809,0.822
partial_translation,rnn,20261028,0.4075063896437462,0.0,0.0,False,23,0.5611476602780983,0.5358593573577382,0.0,9.822409050061488,0.89,0.73075,0.27020713686943054,1.0,0.8785,0.79475,0.7075,0.73075
partial_translation,rnn,20261128,0.5469986866121695,0.0,0.004853234839435925,False,21,0.6369547023389315,0.59967973836569,0.07536326606347488,7.578591933154474,0.9045,0.728,0.19599533081054688,1.0,0.90425,0.79075,0.70275,0.728
partial_translation,rnn,20261228,0.43828114835167764,0.0,0.0028797256419865742,False,20,0.7319243448255233,0.5593322463175862,0.10992744640043717,9.276917279603023,0.88375,0.744,0.2636983394622803,1.0,0.884,0.76125,0.72125,0.744
partial_translation,rnn,20261328,0.4452171752012383,0.0,0.004504415972886413,False,32,0.647254614508719,0.484383409476716,0.07095195409870647,8.19467148203529,0.92125,0.7755,0.23429825901985168,1.0,0.9155,0.82625,0.76925,0.7755
partial_translation,rnn,20261428,0.5597132826885732,0.0,0.0028275438731539303,False,30,0.586851100549943,0.5310451584847782,0.0974299707845121,8.84404170513813,0.9235,0.76325,0.17671826481819153,1.0,0.91425,0.838,0.782,0.76325
partial_translation,rnn,20261528,0.4711535471375744,0.0,0.012395698365790651,False,34,0.6705368184624003,0.526998261455869,0.045733988117657276,8.627454142921518,0.901,0.7365,0.2567790150642395,1.0,0.903,0.80425,0.718,0.7365
partial_translation,rnn,20261628,0.06874048623951895,0.0,0.01568830994023467,False,10,0.8117545434095421,0.7616133346871994,0.06007573046914971,10.531736534946944,0.8885,0.755,0.240062415599823,1.0,0.90075,0.76875,0.7105,0.755
